Colon Prefix,omit post from zotero?,strip from resource title?,multiple resources per post?
[No longer] Open Access Journal,,yes,no
[Not] Open Access Journal,,yes,no
A New Mailing List,,yes,no
A New Open Access Publisher,,yes,no
A New Project,,yes,no
A New Series from the Oriental Institute,,yes,no
ABO,yes,,
Academic Social Network,,yes,no
Acces SSN,yes,,
Admin,yes,,
An emerging resource,,yes,no
Announcement,yes,,
Announcement/Call for Papers,yes,,
Announcing,yes,,
Announcing a New Blog,,yes,no
App,,yes,no
Archaeological Group Blog,,yes,no
Archival Archaeological Film,,yes,no
ARIADNE Stakeholder Survey,yes,,
ASOR wants to know,yes,,
ASOR's April Blog Theme,yes,,
Audio,,yes,
Audio of Antiquities Wars,,yes,
Aural Akkadian,,yes,
Bad News,yes,,
Bibliographies,,yes,yes
Bibliography,,yes,no
Bibliography Online,,yes,no
Call for papers,,no,no
Catalogue Online,,yes,no
CDLI Announcement,yes,,
Classical Latin Texts,,yes,
CLASSICSSTUFF,yes,,
Coming Soon,,yes,
Coming Soon in Open Access,,yes,
Competition,,yes,
Conference Presentations,,yes,yes
Conference Proceedings,,yes,no
Conference Proceedings (Video) Online,,yes,no
Crowdsource Project,,yes,no
Database,,yes,no
Digital Library,,yes,no
Digitization Projects,,yes,yes
Early Warning,yes,,
Early Warnings,yes,,
Emerging forms of communication in the academy,yes,,
Emerging Online Resources,,yes,yes
Emerging Open Access Journal,,yes,no
Emerging Project,,yes,no
Four Additional Open Access Journals,,yes,yes
Fragmentary Texts,,yes,
Good News,yes,,
Graphic,,,
High-resolution recording,,,
Hybrid Open Access Journal,,yes,no
Institutional Repositories,,yes,yes
Interesting News,yes,,
Invitation,yes,,
JSTOR News,yes,,
Just Announced,,yes,
Live Stream Conference,,yes,no
Meta,yes,,
Milestones,yes,,
More Open Access Journals,,yes,yes
New  Publication Series from the Oriental Institute,,yes,no
New at ARTStor,,yes,
New at the Oriental Institute,,yes,
New Book from the Oriental Institute,,yes,no
New Book from The Oriental Institute,,yes,no
New Book Online from the Oriental Institute,,yes,no
New Closed Access Journal,,yes,no
New Data at Open Context,,yes,
New from the Griffith Institute,,yes,
New From Trismegistos,,yes,
New in JSTOR,,yes,
New Journal - Temporarily Open Access,,yes,no
New Journal Free Sample Issue,,yes,no
New Online from The Oriental Institute,,yes,
New Online from the Oriental Institute,,yes,
New Open Acces Journal,,yes,no
New Open Access (for now) Journal,,yes,no
New Open Access Book,,yes,no
New Open Access Journal,,yes,no
New Title in AMAR,,yes,
Newly (?) Open Access Journal,,yes,no
Newly digitized from the Oriental Institute,,yes,
Newly Online,,yes,
Newly Online at the Oriental Institute,,yes,
Newly Online from the Oriental Institute's Backlist,,yes,
Newly Online Journal,,yes,no
Newly Open Access,,yes,
Newly Open Access Journal,,yes,no
Newly scanned at the Oriental Institute,,yes,
News from CDLI,yes,,
News from the CDLI,yes,,
Now Playing,,,
Omne Off Journal Issues,,yes,
One Off Journal Issues,,yes,
One off Journal Issues,,yes,
Online,yes,,
Online Bibliography,,yes,no
Online Exhibition,,yes,no
Online Exhibition Catalog,,yes,no
Online Library,,yes,no
Online Open Access Catalogue,,yes,no
Online Prepublication,,yes,no
Online Proceedings,,yes,no
Open Accces Journal,,yes,no
Open Access (Backlist) Journal,,yes,no
Open Access Annual Report,,yes,
Open Access Archaeological Reports,,yes,yes
Open Access Archaeology,,yes,
Open Access Archive,,yes,no
Open Access Archives,,yes,yes
Open Access Audio,,yes,
Open Access Bibiography,,yes,
Open Access Bibliographical Database,,yes,no
Open Access Bibliography,,yes,
Open Access Book,,yes,no
Open Access Books,,yes,yes
Open Access Class,,yes,no
Open Access Collection,,yes,no
Open Access Collections,,yes,yes
Open Access Cuneiform Texts,,yes,
Open Access Database,,yes,no
Open Access Databases,,yes,yes
Open Access Digital Library,,yes,no
Open Access Digital Text Editions,,yes,yes
Open Access Document,,yes,no
Open Access Egyptology,,yes,
Open Access Encyclopedia,,yes,no
Open Access Exhibition Catalogue,,yes,no
Open Access Jounal,,yes,no
Open Access Journal,,yes,no
Open access Journal,,yes,no
Open Access journal,,yes,no
Open Access Journal,,yes,no
Open Access Journals,,yes,yes
Open Access Libraries,,yes,yes
Open Access Library,,yes,no
Open Access Monograph Series,,yes,no
Open Access Monographic Series,,yes,no
Open Access Monographs,,yes,yes
Open Access Proceedings,,yes,no
Open Access Projects,,yes,yes
Open Access Publication,,yes,no
Open Access Publication Series,,yes,no
Open Access Series,,yes,no
Open Access Symposium/Publication,,yes,no
Open Access Text Corpus,,yes,no
Open Access Week 2013,yes,,
Partially Open Access Journal,,yes,no
Perseus Update,yes,,
Photo Collections,,yes,yes
Pleiades News,yes,,
Polonsky Foundation Digital Project,,no,no
Preprints,,yes,yes
Proceedings,,yes,no
Recent Additions to Pinakes,yes,,
Results of the Poll,yes,,
Results of the Survey,yes,,
Selective Open Access,,yes,no
Soon to be entirely online,,yes,
Special Open Access Issue of Geoarchaeology,,yes,no
Survey,yes,,
Tools of the Trade,,,
Trismegistos News,yes,,
Two in-progress bibliographies,,yes,yes
Underwater Museum,,,
Update,yes,,
Video,,yes,
Archaeological Site Looting,yes,,
Open access journal,,yes,no
Open Accesss Journal,,yes,no
News from Hethiter.net,yes,,
(Partially) Open Access Journal,,yes,no
AJA News,yes,,
Open Access Newsletter,,yes,no
Conference Podcast,,yes,no
Open Access Numismatics,,yes,
New Open Access Journal (and call for papers on Cultural heritage),,yes,no
Metropolitan Museum of Art Publications,,no,
British Museum Online Research Catalogues,,no,
New Digital Publication from ISAW,,yes,no
Administrative,yes,,
Web Conference,,yes,no
Online Exhibition Catalogue,,yes,no
Open Access Publications,,yes,yes
Live Online,yes,,
Book,,yes,no
Opinion/Provocation,yes,,
Back Online,,yes,
Online Lecture Series,,yes,no
Open Access,,yes,
Forthcoming Open Access Journal,,yes,no
A New Blog,,yes,no
Online Exhibit,,yes,no
Request for Comment,yes,,
Online Bibliographies,,yes,yes
Monographs,,yes,yes
Open Access Bibliographies,,yes,yes
CDLI News,yes,,
More Open Access Collections from Patrologia,,yes,yes
Administrative Note,yes,,
New (Partially) Open Access Journal,,yes,no
Photographic Archive,,yes,no
Under Development,,yes,
Open Access Forum,,yes,no
Open Access Book Series,,yes,no
Open Access Journals,,yes,yes
